9.6152,-5.4117,0.0689,0.0000
9.6543,-5.4089,0.0733,0.0000
9.6933,-5.4060,0.0777,0.0000
9.7322,-5.4029,0.0821,0.0000
9.7710,-5.3996,0.0866,0.0000
9.8096,-5.3961,0.0911,0.0000
9.8481,-5.3925,0.0956,0.0000
9.8865,-5.3888,0.1002,0.0000
9.9248,-5.3848,0.1048,0.0000
9.9629,-5.3807,0.1095,0.0000
10.0009,-5.3765,0.1142,0.0000
10.0388,-5.3720,0.1189,0.0000
10.0765,-5.3674,0.1237,0.0000
10.1141,-5.3627,0.1285,0.0000
10.1516,-5.3577,0.1334,0.0000
10.1889,-5.3526,0.1383,0.0000
10.2261,-5.3474,0.1432,0.0000
10.2631,-5.3419,0.1482,0.0000
10.3000,-5.3363,0.1533,0.0000
10.3367,-5.3305,0.1584,0.0000
10.3733,-5.3246,0.1635,0.0000
10.4097,-5.3185,0.1687,0.0000
10.4460,-5.3122,0.1740,0.0000
10.4821,-5.3058,0.1792,0.0000
10.5180,-5.2992,0.1846,0.0000
10.5538,-5.2924,0.1900,0.0000
10.5894,-5.2855,0.1954,0.0000
10.6248,-5.2783,0.2009,0.0000
10.6600,-5.2711,0.2065,0.0000
10.6951,-5.2636,0.2121,0.0000
10.7301,-5.2560,0.2178,0.0000
10.7648,-5.2482,0.2235,0.0000
10.7993,-5.2402,0.2293,0.0000
10.8337,-5.2321,0.2351,0.0000
10.8679,-5.2238,0.2411,0.0000
10.9019,-5.2153,0.2470,0.0000
10.9358,-5.2067,0.2531,0.0000
10.9694,-5.1979,0.2591,0.0000
11.0029,-5.1889,0.2653,0.0000
11.0361,-5.1798,0.2715,0.0000
11.0692,-5.1704,0.2778,0.0000
11.1021,-5.1610,0.2842,0.0000
11.1347,-5.1513,0.2906,0.0000
11.1672,-5.1415,0.2971,0.0000
11.1995,-5.1315,0.3036,0.0000
11.2316,-5.1213,0.3103,0.0000
11.2634,-5.1110,0.3170,0.0000
11.2951,-5.1005,0.3237,0.0000
11.3265,-5.0898,0.3306,0.0000
11.3578,-5.0789,0.3375,0.0000
11.3888,-5.0679,0.3445,0.0000
11.4197,-5.0568,0.3515,0.0000
11.4503,-5.0454,0.3586,0.0000
11.4807,-5.0339,0.3659,0.0000
11.5109,-5.0222,0.3731,0.0000
11.5408,-5.0103,0.3805,0.0000
11.5706,-4.9983,0.3879,0.0000
11.6001,-4.9861,0.3955,0.0000
11.6294,-4.9737,0.4030,0.0000
11.6585,-4.9612,0.4107,0.0000
11.6874,-4.9485,0.4185,0.0000
11.7160,-4.9356,0.4263,0.0000
11.7444,-4.9226,0.4342,0.0000
11.7726,-4.9094,0.4422,0.0000
11.8005,-4.8960,0.4503,0.0000
11.8282,-4.8825,0.4584,0.0000
11.8557,-4.8688,0.4667,0.0000
