x_m,y_m,vx_mps
9.590000000000028280e+00,5.030000000000015348e+00,3.692601577617290687e+00
9.590000000000028280e+00,5.130000000000015881e+00,3.469193913724295530e+00
9.590000000000028280e+00,5.230000000000016414e+00,3.230372487968173445e+00
9.590000000000028280e+00,5.380000000000015881e+00,2.834661604322762152e+00
9.590000000000028280e+00,5.480000000000016414e+00,2.536790572952699829e+00
9.594195804195830846e+00,5.580000000000017835e+00,2.198612891917250511e+00
9.588018648018675094e+00,5.680000000000016591e+00,2.415741023975894297e+00
9.574382284382313202e+00,5.780000000000018012e+00,2.484197087208789068e+00
9.552237762237792751e+00,5.880000000000018545e+00,2.271686381559740120e+00
9.519254079254107381e+00,5.980000000000018190e+00,2.052900571248870598e+00
9.485571095571122768e+00,6.080000000000018723e+00,1.589363149730538050e+00
9.422400932400961437e+00,6.183146853146871180e+00,1.874040010893895936e+00
9.342214452214477660e+00,6.274172494172512771e+00,1.983865984873218746e+00
9.244195804195831201e+00,6.355174825174843889e+00,1.646759581882229373e+00
9.140000000000025437e+00,6.407505827505845630e+00,1.416170815975192232e+00
9.040000000000027569e+00,6.426969696969715429e+00,1.739053135711086107e+00
8.940000000000026148e+00,6.436177156177175895e+00,2.007121253928481952e+00
8.840000000000026503e+00,6.449813519813539564e+00,2.244502266413183289e+00
8.740000000000025082e+00,6.469976689976709494e+00,2.170247561627499433e+00
8.640000000000025437e+00,6.483146853146872779e+00,1.759590258747062430e+00
8.540000000000024016e+00,6.480000000000019966e+00,2.024018994573830721e+00
8.390000000000025437e+00,6.480000000000019966e+00,2.365724601553538253e+00
8.290000000000022240e+00,6.480000000000019966e+00,2.568395002797599247e+00
8.140000000000023661e+00,6.480000000000019966e+00,2.845461806174116592e+00
7.990000000000024194e+00,6.480000000000019966e+00,2.983522852548053272e+00
7.890000000000023661e+00,6.480000000000019966e+00,2.702111879933261296e+00
7.790000000000022240e+00,6.480000000000019966e+00,2.387762260292352057e+00
7.640000000000021885e+00,6.484195804195824309e+00,1.816719536430164261e+00
7.540000000000022240e+00,6.485361305361324824e+00,1.303978989976413150e+00
7.440000000000021707e+00,6.455524475524494932e+00,1.380928670723756246e+00
7.335804195804217720e+00,6.385361305361324291e+00,1.778520229681406217e+00
7.237785547785569484e+00,6.284195804195822355e+00,2.138166175899684163e+00
7.157599067599089260e+00,6.180000000000017479e+00,2.060086858532754306e+00
7.094428904428925264e+00,6.080000000000017835e+00,1.533446061069413169e+00
7.060745920745941540e+00,5.980000000000017302e+00,1.845714030065233935e+00
7.027762237762258835e+00,5.880000000000016769e+00,2.111788902168041382e+00
7.005617715617736607e+00,5.780000000000017124e+00,2.341768118672247212e+00
6.991981351981373827e+00,5.680000000000015703e+00,2.537114172198199569e+00
6.985804195804218075e+00,5.580000000000015170e+00,2.198612891917160361e+00
6.990000000000021529e+00,5.480000000000015525e+00,2.415528617110013876e+00
6.990000000000021529e+00,5.380000000000014992e+00,2.614340930345049774e+00
6.990000000000021529e+00,5.280000000000014460e+00,2.799067433999657073e+00
6.990000000000021529e+00,5.130000000000014104e+00,3.055286975077370570e+00
6.990000000000021529e+00,4.980000000000013749e+00,3.291622472288921575e+00
6.990000000000021529e+00,4.830000000000013394e+00,3.512090331992820058e+00
6.990000000000021529e+00,4.680000000000012150e+00,3.719513207407314503e+00
6.990000000000021529e+00,4.530000000000012683e+00,3.449195543518301044e+00
6.990000000000021529e+00,4.430000000000011262e+00,3.208886083585156701e+00
6.990000000000021529e+00,4.280000000000012683e+00,2.810151223230968665e+00
6.990000000000021529e+00,4.180000000000012150e+00,2.509372411067456898e+00
6.990000000000021529e+00,4.080000000000011617e+00,2.167244770999919190e+00
6.986853146853168717e+00,3.980000000000011084e+00,1.759590258747057101e+00
7.000023310023332002e+00,3.880000000000011440e+00,2.026028937039864086e+00
7.020186480186501932e+00,3.780000000000010463e+00,2.253148964923902930e+00
7.038018648018669055e+00,3.680000000000010374e+00,1.857805274784397609e+00
7.041048951048971993e+00,3.580000000000010285e+00,2.109952480622386162e+00
7.053170163170183748e+00,3.480000000000009752e+00,2.336497137345482589e+00
7.060163170163191282e+00,3.380000000000009219e+00,2.319162945086798988e+00
7.057832167832188475e+00,3.280000000000009130e+00,2.326682986729640579e+00
7.046177156177177103e+00,3.180000000000008598e+00,2.533815852724850881e+00
7.038951048951069822e+00,3.080000000000008509e+00,2.724487145767306551e+00
7.029976689976710880e+00,2.980000000000007976e+00,2.526925611141433770e+00
7.012960372960393762e+00,2.880000000000007887e+00,2.343225202721284983e+00
6.986153846153866809e+00,2.780000000000007798e+00,2.213225604073478792e+00
6.960979020979042531e+00,2.680000000000007709e+00,1.802344215543463024e+00
6.917505827505848970e+00,2.580000000000007621e+00,1.618398595834936282e+00
6.841165501165521690e+00,2.476853146853153831e+00,1.907137883851887317e+00
6.744195804195824095e+00,2.385827505827512685e+00,2.228714201676840645e+00
6.640000000000019220e+00,2.309020979020985465e+00,2.296203264763546859e+00
6.540000000000017799e+00,2.250512820512826639e+00,1.849003127036518146e+00
6.440000000000019043e+00,2.212167832167839077e+00,2.118916989540900353e+00
6.340000000000018510e+00,2.180000000000006377e+00,2.353778731387671908e+00
6.240000000000018865e+00,2.144685314685320865e+00,2.569202024927794703e+00
6.140000000000018332e+00,2.116363636363642442e+00,2.764078761708029131e+00
6.040000000000018687e+00,2.083846153846159677e+00,2.673423707004492833e+00
5.940000000000018154e+00,2.057039627039632723e+00,2.343225202721241018e+00
5.840000000000017621e+00,2.040023310023316050e+00,2.019908473028447560e+00
5.740000000000017977e+00,2.026853146853152765e+00,1.570418300752879359e+00
5.640000000000018332e+00,2.034195804195809920e+00,1.862499864821944850e+00
5.540000000000016911e+00,2.028018648018653725e+00,2.114429424898631282e+00
5.440000000000016378e+00,2.014382284382290500e+00,2.046691565778911315e+00
