x_m,y_m,vx_mps
6.338541188615026911e+00,1.834984436181010814e+00,2.569202024927794703e+00
6.234584262907136853e+00,1.805431461749439581e+00,2.764078761708029131e+00
6.132421436586228403e+00,1.772264257614460714e+00,2.673423707004492833e+00
6.009561829146189638e+00,1.739571279127846593e+00,2.343225202721241018e+00
5.888503670266755918e+00,1.718663085398899337e+00,2.019908473028447560e+00
5.749465679661991402e+00,1.701991020854234815e+00,1.570418300752879359e+00
5.638106092764184396e+00,1.709201322526686662e+00,1.862499864821944850e+00
5.572040126452264097e+00,1.704601842183020022e+00,2.114429424898631282e+00
5.503702028096868482e+00,1.695686423699494849e+00,2.046691565778911315e+00
5.429572874349619660e+00,1.675629249944565746e+00,2.285400467196575303e+00
5.315874070131822116e+00,1.641020441733370694e+00,1.975996193904156373e+00
5.188503670266754852e+00,1.618663085398899248e+00,2.170247561627496768e+00
5.056267462362504794e+00,1.602260525759750420e+00,1.759590258747054881e+00
4.934886996502982015e+00,1.605040222188598431e+00,2.024018994573821839e+00
4.840000000000014069e+00,1.605000000000005977e+00,2.257576773975944029e+00
4.695453777408541640e+00,1.605045762741929449e+00,2.536790572952504874e+00
4.586780461015483645e+00,1.600820143012795960e+00,2.198612891917028467e+00
4.451262973385775368e+00,1.609298159408382611e+00,2.096980483667946427e+00
4.329342473446127215e+00,1.630524208259937158e+00,2.326607409047523500e+00
4.236570329125771472e+00,1.649398664731249298e+00,2.170247561627475896e+00
4.173732537637523166e+00,1.658554232053456978e+00,1.759590258747033120e+00
4.095113003497044879e+00,1.655040222188598475e+00,2.024018994573803187e+00
3.990000000000012204e+00,1.655000000000006022e+00,2.257576773975926265e+00
3.890000000000011227e+00,1.655000000000006022e+00,2.469140111535908844e+00
3.740000000000011315e+00,1.655000000000006022e+00,2.756202621433257338e+00
3.640000000000010782e+00,1.655000000000006022e+00,2.932004926734531391e+00
3.540000000000010694e+00,1.655000000000006022e+00,3.097846492387181350e+00
3.390000000000011227e+00,1.655000000000006022e+00,3.331163894256113700e+00
3.290000000000010250e+00,1.655000000000006022e+00,3.331208474026594146e+00
3.190000000000010161e+00,1.655000000000006022e+00,3.081712169789156075e+00
3.090000000000010072e+00,1.655000000000006022e+00,2.810151223230982431e+00
2.990000000000009095e+00,1.655000000000006022e+00,2.509372411067470665e+00
2.895113003497041149e+00,1.655040222188598475e+00,2.167244770999936954e+00
2.773732537637518814e+00,1.652260525759750909e+00,1.759590258747081304e+00
2.636570329125767387e+00,1.669445284777869354e+00,2.026028937039888067e+00
2.529342473446121620e+00,1.690897168632897518e+00,2.263828265180835686e+00
2.451262973385770039e+00,1.705335455445678994e+00,2.096980483667925110e+00
2.386780461015478139e+00,1.709211751404404289e+00,2.198612891917115952e+00
2.296816681906498570e+00,1.705071495790563496e+00,2.415528617109976572e+00
2.190000000000007052e+00,1.705000000000006066e+00,2.614340930345014691e+00
2.090000000000006963e+00,1.705000000000006066e+00,2.799067433999623766e+00
1.990000000000006430e+00,1.705000000000006066e+00,2.972335529525097719e+00
1.890000000000006342e+00,1.705000000000006066e+00,3.136045041142943468e+00
1.790000000000006031e+00,1.705000000000006066e+00,3.291622472288893597e+00
1.690000000000005498e+00,1.705000000000006066e+00,3.440171289351339201e+00
1.590000000000005409e+00,1.705000000000006066e+00,3.582565910081384253e+00
1.490000000000004876e+00,1.705000000000006066e+00,3.719513207407289634e+00
1.340000000000004743e+00,1.705000000000006066e+00,3.915964568286754321e+00
1.240000000000004210e+00,1.705000000000006066e+00,4.041630673388808326e+00
1.090000000000003855e+00,1.705000000000006066e+00,4.223124258185789515e+00
9.900000000000035438e-01,1.705000000000006066e+00,4.339905356119794000e+00
8.400000000000031886e-01,1.705000000000006066e+00,4.293635570355347930e+00
7.400000000000029887e-01,1.705000000000006066e+00,4.103084987057993516e+00
6.400000000000025668e-01,1.705000000000006066e+00,3.903243063277086033e+00
5.400000000000021450e-01,1.705000000000006066e+00,3.692601577617152575e+00
4.400000000000017231e-01,1.705000000000006066e+00,3.469193913724148981e+00
3.400000000000013012e-01,1.705000000000006066e+00,3.230372487968016237e+00
1.900000000000010292e-01,1.705000000000006066e+00,2.834661604322580519e+00
9.681668190649266037e-02,1.705071495790563496e+00,2.536790572952497325e+00
-1.321953898452939494e-02,1.700820143012796049e+00,2.198612891917021805e+00
-1.487370266142382380e-01,1.709298159408382700e+00,2.096980483667960193e+00
-2.706575265538873065e-01,1.730524208259937469e+00,2.326607409047537267e+00
-3.634296708742412174e-01,1.749398664731249387e+00,2.170247561627519861e+00
-4.262674623624905235e-01,1.758554232053456845e+00,1.759590258747084857e+00
-5.048869965029687545e-01,1.755040222188598786e+00,2.024018994573846708e+00
-6.100000000000012079e-01,1.755000000000006333e+00,2.257576773975965789e+00
-7.100000000000015188e-01,1.755000000000006333e+00,2.469140111535943927e+00
-8.100000000000018296e-01,1.755000000000006333e+00,2.663954370929753068e+00
-9.100000000000021405e-01,1.755000000000006333e+00,2.845461806174129471e+00
-1.010000000000002451e+00,1.755000000000006333e+00,3.016065796761692397e+00
-1.110000000000002540e+00,1.755000000000006333e+00,3.177523074722785168e+00
-1.210000000000002851e+00,1.755000000000006333e+00,3.257384762037127235e+00
-1.310000000000003162e+00,1.755000000000006333e+00,3.001758732468628565e+00
-1.410000000000003251e+00,1.755000000000006333e+00,2.722233547650102725e+00
-1.510000000000003784e+00,1.755000000000006333e+00,2.410509383502096092e+00
-1.604886996502971286e+00,1.755040222188598786e+00,2.051963812534629117e+00
-1.731355263503540298e+00,1.752555517011838093e+00,1.615476236037750146e+00
-1.854280167953192615e+00,1.771200806358006918e+00,1.903414897641919845e+00
-1.921167643506576539e+00,1.779550902201729290e+00,1.802949695320351209e+00
-1.957661858598101157e+00,1.779288582026385068e+00,1.481586071196333787e+00
-1.978245999886280693e+00,1.774629193768110458e+00,1.439380218096452335e+00
-2.024062849876733683e+00,1.744795465385793332e+00,1.799980287244534960e+00
