x_m,y_m
8.000000000000030420e-01,-2.401981351981357093e+00
7.000000000000026201e-01,-2.395804195804201342e+00
6.000000000000024203e-01,-2.400000000000005684e+00
5.000000000000018874e-01,-2.400000000000005684e+00
3.500000000000015876e-01,-2.400000000000005684e+00
2.500000000000012212e-01,-2.400000000000005684e+00
1.000000000000009215e-01,-2.400000000000005684e+00
5.195496810550537248e-16,-2.400000000000005684e+00
-9.999999999999947820e-02,-2.403146853146858941e+00
-1.999999999999998446e-01,-2.389976689976695656e+00
-3.000000000000002109e-01,-2.369813519813524838e+00
-4.000000000000005218e-01,-2.351981351981356827e+00
-5.000000000000008882e-01,-2.345804195804200631e+00
-6.000000000000008660e-01,-2.350000000000004530e+00
-7.000000000000013989e-01,-2.350000000000004530e+00
-8.000000000000015987e-01,-2.350000000000004530e+00
-9.000000000000019096e-01,-2.345804195804200631e+00
-1.000000000000002442e+00,-2.351981351981356827e+00
-1.100000000000002531e+00,-2.369813519813525282e+00
-1.200000000000002620e+00,-2.389976689976695212e+00
-1.300000000000002931e+00,-2.403146853146858497e+00
-1.400000000000003464e+00,-2.400000000000005684e+00
-1.500000000000003775e+00,-2.395804195804201342e+00
-1.600000000000003642e+00,-2.397785547785553195e+00
-1.700000000000004174e+00,-2.421794871794877402e+00
-1.800000000000004263e+00,-2.455594405594411445e+00
-1.900000000000004796e+00,-2.495104895104900855e+00
-2.000000000000005329e+00,-2.522960372960378450e+00
-2.100000000000004974e+00,-2.539976689976696012e+00
-2.200000000000005507e+00,-2.548951048951055398e+00
-2.300000000000006040e+00,-2.551981351981358337e+00
-2.400000000000006128e+00,-2.569813519813525904e+00
-2.500000000000006661e+00,-2.586829836829842133e+00
-2.600000000000006750e+00,-2.613170163170168703e+00
-2.700000000000007283e+00,-2.630186480186485820e+00
-2.800000000000006928e+00,-2.648018648018654275e+00
-2.900000000000007461e+00,-2.654195804195810471e+00
-3.000000000000007550e+00,-2.650000000000006128e+00
-3.100000000000008082e+00,-2.650000000000006128e+00
