x_m,y_m
1.197114881413647325e+01,-4.515931750901398090e+00
1.199649869938466651e+01,-4.498823035431473549e+00
1.202021604713184644e+01,-4.482378948346770642e+00
1.204439643442199070e+01,-4.465223341656862743e+00
1.206870420377968323e+01,-4.447627370509877665e+00
1.209234122618216745e+01,-4.430226140544963442e+00
1.211530331325308119e+01,-4.412742879093105586e+00
1.213929283307313689e+01,-4.394287725406694101e+00
1.216137388374253092e+01,-4.376808261951539158e+00
1.218518656457749394e+01,-4.357673288347760021e+00
1.220685476452043794e+01,-4.339800198628674721e+00
1.222992798170920281e+01,-4.320525034392891151e+00
1.225129231342098102e+01,-4.302099579170221233e+00
1.227392147480030893e+01,-4.282463908425259369e+00
1.229544846879968922e+01,-4.263287596356202691e+00
1.231627954063623953e+01,-4.244345721649845693e+00
1.233819275402463411e+01,-4.224079101744299791e+00
1.235858780578346838e+01,-4.204821057496213044e+00
1.237972229028711801e+01,-4.184481029590042311e+00
1.240055784074870715e+01,-4.164182180510920261e+00
1.242006798584725225e+01,-4.144687137623527917e+00
1.244078110472284138e+01,-4.123611277486976867e+00
1.246078783224413478e+01,-4.103003394961167061e+00
1.248018558258917210e+01,-4.082560985358131056e+00
1.249971732216765119e+01,-4.061733797998391182e+00
1.251892041143987377e+01,-4.040701906989272452e+00
1.253819706488596708e+01,-4.019373229202489739e+00
1.255730454670610463e+01,-3.997885838807639924e+00
1.257563508576942013e+01,-3.976879660141907191e+00
1.259491886475291267e+01,-3.954464156104525507e+00
1.261181898641170918e+01,-3.933172563994067783e+00
1.262936356839526475e+01,-3.910281646391054355e+00
1.264657444267903585e+01,-3.887277463016359569e+00
1.266367293367998847e+01,-3.863855275277193968e+00
1.268027921824464066e+01,-3.840457823689686467e+00
1.269626027625347042e+01,-3.817344588877097156e+00
1.271335732120554063e+01,-3.791955376223102192e+00
1.272785551190917097e+01,-3.769857298225525177e+00
1.274478603575201063e+01,-3.743363982009786373e+00
1.275939019292648346e+01,-3.719943600428367247e+00
1.277479303649555753e+01,-3.694616684967168663e+00
1.278956278133470548e+01,-3.669637920897410144e+00
1.280429643067561507e+01,-3.644181393145072168e+00
1.281885328659261880e+01,-3.618393696190654207e+00
1.283331445150038341e+01,-3.592261075970571760e+00
1.284741660321071599e+01,-3.566240039773611592e+00
1.286067451654649751e+01,-3.541059478665120608e+00
1.287467916961466052e+01,-3.513813268098922471e+00
1.288821258318791507e+01,-3.487087879516600264e+00
1.290116283646015205e+01,-3.460828308175281531e+00
1.291455648156946090e+01,-3.433215412077979867e+00
1.292691898522059901e+01,-3.407021372708637141e+00
1.294009833683692889e+01,-3.378712256630878930e+00
1.295188849788385710e+01,-3.352665303121343143e+00
