x_m,y_m,vx_mps
6.192409666568988058e+00,3.561926590863370823e+00,1.000000000000000000e+00
6.624405809504140485e+00,3.600981863492314083e+00,1.000000000000000000e+00
6.620373684525022284e+00,3.598411270131165907e+00,1.000000000000000000e+00
6.563539469755180100e+00,3.546627458895368790e+00,1.000000000000000000e+00
6.463539469755177791e+00,3.431942144210052170e+00,1.000000000000000000e+00
6.320373684525018909e+00,3.307735279455173760e+00,1.000000000000000000e+00
6.138835725080990180e+00,3.218116695942192518e+00,1.000000000000000000e+00
5.952272662057252361e+00,3.192665951102238608e+00,1.000000000000000000e+00
5.854020617890297373e+00,3.203173796637147852e+00,1.000000000000000000e+00
5.799319696191620466e+00,3.194058512827056884e+00,1.000000000000000000e+00
5.705991562972832831e+00,3.175084924533295272e+00,1.000000000000000000e+00
5.585757255336234905e+00,3.154119943452464270e+00,1.000000000000000000e+00
5.457689780237780397e+00,3.145902766531364136e+00,1.000000000000000000e+00
5.328725028922914220e+00,3.147608471703094324e+00,1.000000000000000000e+00
5.200680303808409732e+00,3.164105132873678894e+00,1.000000000000000000e+00
5.094008437027200742e+00,3.185457884906255366e+00,1.000000000000000000e+00
5.014242744663797602e+00,3.200157239489757277e+00,1.000000000000000000e+00
4.947028117860446272e+00,3.204210524696054829e+00,1.000000000000000000e+00
4.861006570823716899e+00,3.200201975659116904e+00,1.000000000000000000e+00
4.734983880896177055e+00,3.197229188920785781e+00,1.000000000000000000e+00
4.605227381292254840e+00,3.213383102677704883e+00,1.000000000000000000e+00
4.479962396801422386e+00,3.235329609833857312e+00,1.000000000000000000e+00
4.367317346754225227e+00,3.269660996721293955e+00,1.000000000000000000e+00
4.291198127910611504e+00,3.290201489905868915e+00,1.000000000000000000e+00
4.225086356043890490e+00,3.299054920545195557e+00,1.000000000000000000e+00
4.132025357382194564e+00,3.301587914814260394e+00,1.000000000000000000e+00
4.006750281584555040e+00,3.313157242819635862e+00,1.000000000000000000e+00
3.894008437027192571e+00,3.335457884906257497e+00,1.000000000000000000e+00
3.841474122761166399e+00,3.345138995798887738e+00,1.000000000000000000e+00
